Peak ,Name ,Yr/Seas ,Date ,Time ,Citizenship ,Sex ,Age ,Oxy ,Dth ,Host 
EVER,Tenzing Norgay ,1953 Spr,29-May,11:30,India,M,39,Y,.,Nepal
EVER,Edmund Percival Hillary,1953 Spr,29-May,11:30,New Zealand,M,33,Y,.,Nepal
EVER,Juerg P. Marmet,1956 Spr,23-May,14:00,Switzerland,M,28,Y,.,Nepal
EVER,Ernst Schmied,1956 Spr,23-May,14:00,Switzerland,M,31,Y,.,Nepal
EVER,Adolf (Dolf) Reist,1956 Spr,24-May,11:00,Switzerland,M,35,Y,.,Nepal
EVER,Hans-Rudolf Von Gunten,1956 Spr,24-May,11:00,Switzerland,M,27,Y,.,Nepal
EVER,Gombu (Konbu) ,1960 Spr,25-May,2:05,China,M,25,Y,.,China
EVER,Ying-Hua Qu,1960 Spr,25-May,2:05,China,M,25,Y,.,China
EVER,Fu-Chou Wang,1960 Spr,25-May,2:05,China,M,24,Y,.,China
EVER,Nawang Gombu ,1963 Spr,1-May,13:00,India,M,26,Y,.,Nepal
EVER,James W. (Jim) Whittaker,1963 Spr,1-May,13:00,USA,M,34,Y,.,Nepal
EVER,Barry Chapman Bishop,1963 Spr,22-May,15:30,USA,M,31,Y,.,Nepal
EVER,Luther Gerald (Lute) Jerstad,1963 Spr,22-May,15:30,USA,M,26,Y,.,Nepal
EVER,Thomas Frederick Hornbein,1963 Spr,22-May,18:30,USA,M,32,Y,.,Nepal
EVER,William Francis (Willi) Unsoeld,1963 Spr,22-May,18:30,USA,M,36,Y,.,Nepal
EVER,Nawang Gombu ,1965 Spr,20-May,9:30,India,M,28,Y,.,Nepal
EVER,Autar Singh Cheema,1965 Spr,20-May,9:30,India,M,27,Y,.,Nepal
EVER,Sonam Gyatso ,1965 Spr,22-May,12:30,India,M,42,Y,.,Nepal
EVER,Sonam Wangyal ,1965 Spr,22-May,12:30,India,M,23,Y,.,Nepal
EVER,Ang Kami Sherpa,1965 Spr,24-May,10:45,India,M,0,Y,.,Nepal
EVER,C. P. Vohra,1965 Spr,24-May,10:45,India,M,30,Y,.,Nepal
EVER,Hari Pal Singh Ahluwalia,1965 Spr,29-May,10:00,India,M,27,Y,.,Nepal
